time (s), ch0 acceleration (g)
0.833500,-0.094733
0.834497,-0.015559
0.835494,0.071612
0.836491,0.132432
0.837488,0.162086
0.838485,0.178015
0.839482,0.173742
0.840479,0.149567
0.841476,0.105109
0.842473,0.050953
0.843470,-0.005830
0.844467,-0.058507
0.845464,-0.102059
0.846461,-0.133103
0.847458,-0.151710
0.848455,-0.157736
0.849452,-0.153388
0.850449,-0.141661
0.851446,-0.125577
0.852443,-0.106117
0.853440,-0.084344
0.854437,-0.061762
0.855434,-0.039653
0.856431,-0.018909
0.857428,-0.000191
0.858425,0.015721
0.859422,0.028423
0.860419,0.037780
0.861416,0.043881
0.862413,0.046569
0.863410,0.046039
0.864407,0.042454
0.865404,0.036184
0.866401,0.027633
0.867398,0.017427
0.868395,0.006553
0.869392,-0.004279
0.870389,-0.014457
0.871386,-0.023617
0.872383,-0.031331
0.873380,-0.037240
0.874377,-0.041027
0.875374,-0.042751
0.876371,-0.042839
0.877368,-0.041851
0.878365,-0.039156
0.879362,-0.034732
0.880359,-0.029648
0.881356,-0.026021
0.882353,-0.023278
0.883350,-0.021178
0.884347,-0.018966
0.885344,-0.017830
0.886341,-0.017450
0.887338,-0.019085
0.888335,-0.020155
0.889332,-0.023746
0.890329,-0.027184
0.891326,-0.058259
0.892323,-0.127237
0.893320,-0.144127
0.894317,-0.126749
0.895314,-0.096661
0.896311,-0.061213
0.897308,-0.031352
0.898305,-0.003950
0.899302,0.018102
0.900299,0.034587
0.901296,0.044627
0.902293,0.054708
0.903290,0.071041
0.904287,0.083370
0.905284,0.090805
0.906281,0.094214
0.907278,0.093367
0.908275,0.088439
0.909272,0.079984
0.910269,0.069059
0.911266,0.056406
0.912263,0.042974
0.913260,0.029553
0.914257,0.016791
0.915254,0.005335
0.916251,-0.004513
0.917248,-0.012596
0.918245,-0.018791
0.919242,-0.023248
0.920239,-0.026089
0.921236,-0.027527
0.922233,-0.027653
0.923230,-0.026699
0.924227,-0.025064
0.925224,-0.023092
0.926221,-0.020993
0.927218,-0.018956
0.928215,-0.016923
0.929212,-0.014991
0.930209,-0.013038
0.931206,-0.011281
0.932203,-0.009608
0.933200,-0.008172
0.934197,-0.007050
0.935194,-0.006423
0.936191,-0.006357
0.937188,-0.006629
0.938185,-0.007430
0.939182,-0.008625
0.940179,-0.009655
0.941176,-0.010299
0.942173,-0.010968
0.943170,-0.011343
0.944167,-0.011187
0.945165,-0.010768
0.946162,-0.010263
0.947159,-0.010011
0.948156,-0.008465
0.949153,-0.007053
0.950150,-0.006875
0.951147,-0.006288
0.952144,-0.005608
0.953141,-0.005283
0.954138,-0.004727
0.955135,-0.004045
0.956132,-0.004397
0.957129,-0.005014
0.958126,-0.005636
0.959123,-0.006490
0.960120,-0.008351
0.961117,-0.010172
0.962114,-0.013342
0.963111,-0.016370
0.964108,-0.016294
0.965105,-0.018683
0.966102,-0.022875
0.967099,-0.026491
0.968096,-0.028246
0.969093,-0.029176
0.970090,-0.031595
0.971087,-0.032018
0.972084,-0.034418
0.973081,-0.034779
0.974078,-0.033482
0.975075,-0.033828
0.976072,-0.033995
0.977069,-0.031905
0.978066,-0.031022
0.979063,-0.030635
0.980060,-0.030669
0.981057,-0.030574
0.982054,-0.029953
0.983051,-0.029590
0.984048,-0.029747
0.985045,-0.029531
0.986042,-0.028973
0.987039,-0.028108
0.988036,-0.026736
0.989033,-0.024734
0.990030,-0.022586
0.991027,-0.019700
0.992024,-0.016863
0.993021,-0.013375
0.994018,-0.010221
0.995015,-0.006296
0.996012,-0.003258
0.997009,0.000634
0.998006,0.002995
0.999003,0.006489
