time (s), ch0 acceleration (g), ch1 acceleration (g)
0.519442,0.358737,-1.044982
0.520439,0.000501,0.000209
0.521436,-0.972777,0.218963
0.522433,0.000316,0.001155
0.523430,-1.395605,1.294671
0.524427,0.000818,0.001368
0.525424,-0.547169,1.193176
0.526421,0.000456,0.000898
0.527418,0.787329,-0.001450
0.528415,0.000591,0.000594
0.529412,1.417250,-1.206316
0.530409,0.000482,0.000922
0.531406,0.754689,-1.283671
0.532403,0.001072,0.000635
0.533400,-0.609523,-0.204696
0.534397,0.000785,0.000493
0.535394,-1.410992,1.059865
0.536391,0.000239,0.001076
0.537388,-0.908834,1.367912
0.538385,0.000441,0.001313
0.539382,0.400345,0.427858
0.540379,0.000589,0.001202
0.541376,1.356766,-0.919622
0.542373,0.000186,0.000812
0.543370,1.077589,-1.409391
0.544367,0.000230,0.000372
0.545364,-0.191600,-0.611422
0.546361,0.000365,0.001483
0.547358,-1.293918,0.728922
0.548355,0.001289,0.000221
0.549352,-1.187781,1.418149
0.550349,0.000475,0.001707
0.551346,-0.016737,0.814522
0.552343,0.000670,0.001013
0.553340,1.174161,-0.544003
0.554337,0.000630,0.001012
0.555334,1.300632,-1.402850
0.556331,0.000178,0.000816
0.557328,0.237516,-0.963129
0.558325,0.000219,0.000653
0.559322,-1.058025,0.332792
0.560319,0.000676,0.001306
0.561316,-1.364287,1.337593
0.562313,0.000579,0.000950
0.563310,-0.432518,1.126201
0.564307,0.000791,0.000297
0.565304,0.884777,-0.119316
0.566301,0.000620,0.000208
0.567298,1.408354,-1.266468
0.568295,0.000717,0.000613
0.569292,0.646717,-1.231194
0.570289,0.000775,0.000504
0.571286,-0.719979,-0.091967
0.572283,0.000424,0.000912
0.573280,-1.418131,1.134475
0.574277,0.000673,0.000498
0.575274,-0.810794,1.334714
0.576271,0.000746,0.000731
0.577268,0.515958,0.315308
0.578265,0.000458,0.001453
0.579262,1.386365,-1.007450
0.580259,0.000130,0.000918
0.581256,0.993794,-1.388657
